chamber_before_election,chamber_after_election,Party,Candidate,Year,Ideology,Nominate_D1_before,Nominate_D2_before,NP_D1_before,NP_D2_before,Nominate_D1_after,Nominate_D2_after,NP_D1_after,NP_D2_after
House,House,Democratic,Chellie Pingree,2022,-2.388,-0.423,-0.365,-0.44,-0.321,-0.423,-0.365,-0.384,-0.15
House,House,Democratic,Chellie Pingree,2024,-2.45,-0.423,-0.365,-0.776,0.297,-0.423,-0.365,-0.44,-0.321
House,House,Democratic,Sander Levin,2010,-2.413,-0.379,-0.091,-0.388,0.015,-0.379,-0.091,-0.419,0.221
House,House,Democratic,Sander Levin,2012,-2.357,-0.379,-0.091,-0.419,0.002,-0.379,-0.091,-0.388,0.015
House,House,Democratic,Sander Levin,2014,-2.29,-0.379,-0.091,-0.434,-0.02,-0.379,-0.091,-0.419,0.002
House,House,Democratic,Sander Levin,2016,-2.273,-0.379,-0.091,-0.435,-0.012,-0.379,-0.091,-0.434,-0.02
NA,House,Democratic,Sander Levin,2018,-2.237,NA,NA,NA,NA,-0.379,-0.091,-0.435,-0.012
House,House,Republican,Michele Bachmann,2010,2.974,0.584,-0.03,0.624,-0.19,0.584,-0.03,0.584,-0.108
House,House,Republican,Michele Bachmann,2012,3.002,0.584,-0.03,0.581,-0.157,0.584,-0.03,0.624,-0.19
NA,House,Republican,Michele Bachmann,2014,2.924,NA,NA,NA,NA,0.584,-0.03,0.581,-0.157
House,House,Republican,Jon Runyan,2012,1.228,0.222,0.089,0.214,0.014,0.222,0.089,0.228,0.115
NA,House,Republican,Jon Runyan,2014,1.044,NA,NA,NA,NA,0.222,0.089,0.214,0.014
NA,House,Democratic,John Adler,2010,-1.524,NA,NA,NA,NA,-0.114,0.349,-0.113,0.336
House,House,Republican,Dave Camp,2010,1.29,0.385,-0.048,0.393,0.001,0.385,-0.048,0.349,0.19
House,House,Republican,Dave Camp,2012,1.334,0.385,-0.048,0.405,0.071,0.385,-0.048,0.393,0.001
NA,House,Republican,Dave Camp,2014,1.365,NA,NA,NA,NA,0.385,-0.048,0.405,0.071
House,House,Republican,Jo Bonner,2010,1.369,0.367,0.513,0.31,0.506,0.367,0.513,0.34,0.68
House,House,Republican,Jo Bonner,2012,1.349,0.367,0.513,0.331,0.625,0.367,0.513,0.31,0.506
House,House,Democratic,David Price,2010,-2.207,-0.343,-0.03,-0.43,-0.026,-0.343,-0.03,-0.475,0.081
House,House,Democratic,David Price,2012,-2.142,-0.343,-0.03,-0.412,0.011,-0.343,-0.03,-0.43,-0.026
House,House,Democratic,David Price,2014,-2.004,-0.343,-0.03,-0.447,0.015,-0.343,-0.03,-0.412,0.011
House,House,Democratic,David Price,2016,-1.952,-0.343,-0.03,-0.439,-0.001,-0.343,-0.03,-0.447,0.015
House,House,Democratic,David Price,2018,-1.844,-0.343,-0.03,-0.38,-0.117,-0.343,-0.03,-0.439,-0.001
House,House,Democratic,David Price,2020,-1.945,-0.343,-0.03,-0.456,0.113,-0.343,-0.03,-0.38,-0.117
NA,House,Democratic,David Price,2022,-2.065,NA,NA,NA,NA,-0.343,-0.03,-0.456,0.113
NA,House,Democratic,"Charles Wilson, Jr.",2010,-1.973,NA,NA,NA,NA,-0.321,0.635,-0.342,0.58
House,House,Democratic,Ben Chandler,2010,-1.548,-0.232,0.516,-0.2,0.434,-0.232,0.516,-0.244,0.572
NA,House,Democratic,Ben Chandler,2012,-1.68,NA,NA,NA,NA,-0.232,0.516,-0.2,0.434
House,House,Republican,Andy Barr,2014,1.701,0.486,0.299,0.488,0.445,0.486,0.299,0.45,0.235
House,House,Republican,Andy Barr,2016,1.681,0.486,0.299,0.547,0.321,0.486,0.299,0.488,0.445
House,House,Republican,Andy Barr,2018,1.86,0.486,0.299,0.497,0.293,0.486,0.299,0.547,0.321
House,House,Republican,Andy Barr,2020,1.832,0.486,0.299,0.431,0.36,0.486,0.299,0.497,0.293
House,House,Republican,Andy Barr,2022,1.696,0.486,0.299,0.532,0.391,0.486,0.299,0.431,0.36
House,House,Republican,Andy Barr,2024,1.723,0.486,0.299,0.534,0.227,0.486,0.299,0.532,0.391
House,House,Democratic,Joe Courtney,2010,-1.816,-0.337,0.041,-0.372,0.13,-0.337,0.041,-0.353,0.142
House,House,Democratic,Joe Courtney,2012,-1.837,-0.337,0.041,-0.342,-0.043,-0.337,0.041,-0.372,0.13
House,House,Democratic,Joe Courtney,2014,-1.824,-0.337,0.041,-0.331,-0.007,-0.337,0.041,-0.342,-0.043
House,House,Democratic,Joe Courtney,2016,-1.794,-0.337,0.041,-0.342,-0.049,-0.337,0.041,-0.331,-0.007
House,House,Democratic,Joe Courtney,2018,-1.833,-0.337,0.041,-0.36,0.014,-0.337,0.041,-0.342,-0.049
House,House,Democratic,Joe Courtney,2020,-1.877,-0.337,0.041,-0.278,-0.036,-0.337,0.041,-0.36,0.014
House,House,Democratic,Joe Courtney,2022,-1.828,-0.337,0.041,-0.322,0.221,-0.337,0.041,-0.278,-0.036
House,House,Democratic,Joe Courtney,2024,-1.818,-0.337,0.041,-0.262,-0.026,-0.337,0.041,-0.322,0.221
House,House,Democratic,"Bill Pascrell, Jr.",2010,-2.222,-0.369,-0.004,-0.429,0.105,-0.369,-0.004,-0.378,-0.106
House,House,Democratic,"Bill Pascrell, Jr.",2012,-2.042,-0.369,-0.004,-0.401,-0.102,-0.369,-0.004,-0.429,0.105
House,House,Democratic,"Bill Pascrell, Jr.",2014,-1.941,-0.369,-0.004,-0.409,0.04,-0.369,-0.004,-0.401,-0.102
House,House,Democratic,"Bill Pascrell, Jr.",2016,-1.815,-0.369,-0.004,-0.374,-0.138,-0.369,-0.004,-0.409,0.04
House,House,Democratic,"Bill Pascrell, Jr.",2018,-1.908,-0.369,-0.004,-0.353,-0.183,-0.369,-0.004,-0.374,-0.138
House,House,Democratic,"Bill Pascrell, Jr.",2020,-2.116,-0.369,-0.004,-0.409,-0.006,-0.369,-0.004,-0.353,-0.183
House,House,Democratic,"Bill Pascrell, Jr.",2022,-2.085,-0.369,-0.004,-0.498,0.212,-0.369,-0.004,-0.409,-0.006
House,House,Democratic,Mike Quigly,2010,-1.675,-0.326,-0.231,-0.304,-0.488,-0.326,-0.231,-0.306,-0.459
House,House,Democratic,Mike Quigly,2012,-1.741,-0.326,-0.231,-0.342,-0.277,-0.326,-0.231,-0.304,-0.488
House,House,Democratic,Mike Quigly,2014,-1.799,-0.326,-0.231,-0.333,-0.073,-0.326,-0.231,-0.342,-0.277
House,House,Democratic,Mike Quigly,2016,-1.854,-0.326,-0.231,-0.351,-0.131,-0.326,-0.231,-0.333,-0.073
House,House,Democratic,Mike Quigly,2018,-1.934,-0.326,-0.231,-0.387,-0.087,-0.326,-0.231,-0.351,-0.131
House,House,Democratic,Mike Quigly,2020,-2.057,-0.326,-0.231,-0.372,-0.015,-0.326,-0.231,-0.387,-0.087
House,House,Democratic,Mike Quigly,2022,-2.041,-0.326,-0.231,-0.44,0.156,-0.326,-0.231,-0.372,-0.015
House,House,Democratic,Mike Quigly,2024,-2.105,-0.326,-0.231,-0.282,-0.419,-0.326,-0.231,-0.44,0.156
House,House,Democratic,Susan Davis,2010,-2.154,-0.343,-0.103,-0.346,-0.048,-0.343,-0.103,-0.384,0.142
House,House,Democratic,Susan Davis,2012,-2.102,-0.343,-0.103,-0.388,-0.007,-0.343,-0.103,-0.346,-0.048
House,House,Democratic,Susan Davis,2014,-2.16,-0.343,-0.103,-0.384,0.071,-0.343,-0.103,-0.388,-0.007
House,House,Democratic,Susan Davis,2016,-2.121,-0.343,-0.103,-0.324,-0.287,-0.343,-0.103,-0.384,0.071
House,House,Democratic,Susan Davis,2018,-2.076,-0.343,-0.103,-0.341,-0.007,-0.343,-0.103,-0.324,-0.287
NA,House,Democratic,Susan Davis,2020,-1.98,NA,NA,NA,NA,-0.343,-0.103,-0.341,-0.007
House,House,Republican,Howard McKeon,2010,1.65,0.396,0.208,0.329,0.395,0.396,0.208,0.377,0.227
House,House,Republican,Howard McKeon,2012,1.603,0.396,0.208,0.297,0.616,0.396,0.208,0.329,0.395
NA,House,Republican,Howard McKeon,2014,1.552,NA,NA,NA,NA,0.396,0.208,0.297,0.616
House,House,Democratic,Joseph Crowley,2010,-1.611,-0.412,-0.07,-0.412,-0.172,-0.412,-0.07,-0.46,-0.056
House,House,Democratic,Joseph Crowley,2012,-1.66,-0.412,-0.07,-0.471,-0.025,-0.412,-0.07,-0.412,-0.172
House,House,Democratic,Joseph Crowley,2014,-1.748,-0.412,-0.07,-0.401,-0.129,-0.412,-0.07,-0.471,-0.025
House,House,Democratic,Joseph Crowley,2016,-1.568,-0.412,-0.07,-0.509,0.022,-0.412,-0.07,-0.401,-0.129
NA,House,Democratic,Joseph Crowley,2018,-1.578,NA,NA,NA,NA,-0.412,-0.07,-0.509,0.022
House,House,Democratic,Paul D. Tonko,2010,-2.039,-0.416,-0.262,-0.418,-0.303,-0.416,-0.262,-0.403,-0.061
House,House,Democratic,Paul D. Tonko,2012,-1.985,-0.416,-0.262,-0.426,-0.263,-0.416,-0.262,-0.418,-0.303
House,House,Democratic,Paul D. Tonko,2014,-2.025,-0.416,-0.262,-0.434,-0.273,-0.416,-0.262,-0.426,-0.263
House,House,Democratic,Paul D. Tonko,2016,-1.954,-0.416,-0.262,-0.436,-0.19,-0.416,-0.262,-0.434,-0.273
House,House,Democratic,Paul D. Tonko,2018,-1.993,-0.416,-0.262,-0.361,-0.405,-0.416,-0.262,-0.436,-0.19
House,House,Democratic,Paul D. Tonko,2020,-2.067,-0.416,-0.262,-0.451,-0.205,-0.416,-0.262,-0.361,-0.405
House,House,Democratic,Paul D. Tonko,2022,-2.025,-0.416,-0.262,-0.352,-0.293,-0.416,-0.262,-0.451,-0.205
House,House,Democratic,Paul D. Tonko,2024,-2.152,-0.416,-0.262,-0.652,0.12,-0.416,-0.262,-0.352,-0.293
House,House,Republican,Chris Gibson,2012,1.182,0.203,-0.455,0.186,-0.572,0.203,-0.455,0.233,-0.529
House,House,Republican,Chris Gibson,2014,1.002,0.203,-0.455,0.205,-0.371,0.203,-0.455,0.186,-0.572
NA,House,Republican,Chris Gibson,2016,0.849,NA,NA,NA,NA,0.203,-0.455,0.205,-0.371
House,House,Republican,Steve Pearce,2012,1.609,0.472,0.064,0.441,0.18,0.472,0.064,0.502,0.034
House,House,Republican,Steve Pearce,2014,1.762,0.472,0.064,0.509,0.003,0.472,0.064,0.441,0.18
House,House,Republican,Steve Pearce,2016,1.85,0.472,0.064,0.475,0.077,0.472,0.064,0.509,0.003
NA,House,Republican,Steve Pearce,2018,1.92,NA,NA,NA,NA,0.472,0.064,0.475,0.077
NA,House,Democratic,Harry Teague,2010,-1.663,NA,NA,NA,NA,-0.142,0.543,-0.141,0.547
House,House,Democratic,Melvin Watt,2010,-2.271,-0.526,-0.155,-0.46,-0.089,-0.526,-0.155,-0.508,-0.358
House,House,Democratic,Melvin Watt,2012,-2.231,-0.526,-0.155,-0.451,-0.142,-0.526,-0.155,-0.46,-0.089
House,House,Democratic,Ron Kind,2010,-1.872,-0.26,-0.08,-0.239,-0.065,-0.26,-0.08,-0.236,-0.588
House,House,Democratic,Ron Kind,2012,-1.7,-0.26,-0.08,-0.303,-0.059,-0.26,-0.08,-0.239,-0.065
House,House,Democratic,Ron Kind,2014,-1.794,-0.26,-0.08,-0.251,-0.079,-0.26,-0.08,-0.303,-0.059
House,House,Democratic,Ron Kind,2016,-1.678,-0.26,-0.08,-0.25,0.126,-0.26,-0.08,-0.251,-0.079
House,House,Democratic,Ron Kind,2018,-1.647,-0.26,-0.08,-0.261,0.178,-0.26,-0.08,-0.25,0.126
House,House,Democratic,Ron Kind,2020,-1.657,-0.26,-0.08,-0.176,-0.105,-0.26,-0.08,-0.261,0.178
NA,House,Democratic,Ron Kind,2022,-1.647,NA,NA,NA,NA,-0.26,-0.08,-0.176,-0.105
House,House,Democratic,Ami Bera,2014,-2.103,-0.247,0.009,-0.248,0.031,-0.247,0.009,-0.202,-0.108
House,House,Democratic,Ami Bera,2016,-1.996,-0.247,0.009,-0.259,0.187,-0.247,0.009,-0.248,0.031
House,House,Democratic,Ami Bera,2018,-2.002,-0.247,0.009,-0.363,0.303,-0.247,0.009,-0.259,0.187
House,House,Democratic,Ami Bera,2020,-2.071,-0.247,0.009,-0.352,0.115,-0.247,0.009,-0.363,0.303
House,House,Democratic,Ami Bera,2022,-2.111,-0.247,0.009,-0.364,0.152,-0.247,0.009,-0.352,0.115
House,House,Democratic,Ami Bera,2024,-2.071,-0.247,0.009,-0.319,-0.158,-0.247,0.009,-0.364,0.152
House,House,Republican,Dan Lungren,2010,1.532,0.497,-0.054,0.355,0.267,0.497,-0.054,0.468,-0.086
NA,House,Republican,Dan Lungren,2012,1.527,NA,NA,NA,NA,0.497,-0.054,0.355,0.267
House,House,Republican,Blaine Luetkemeyer,2010,1.647,0.45,0.247,0.459,0.476,0.45,0.247,0.484,-0.064
House,House,Republican,Blaine Luetkemeyer,2012,1.609,0.45,0.247,0.423,0.274,0.45,0.247,0.459,0.476
House,House,Republican,Blaine Luetkemeyer,2014,1.51,0.45,0.247,0.429,0.36,0.45,0.247,0.423,0.274
House,House,Republican,Blaine Luetkemeyer,2016,1.54,0.45,0.247,0.44,0.301,0.45,0.247,0.429,0.36
House,House,Republican,Blaine Luetkemeyer,2018,1.546,0.45,0.247,0.391,0.459,0.45,0.247,0.44,0.301
House,House,Republican,Blaine Luetkemeyer,2020,1.872,0.45,0.247,0.489,0.303,0.45,0.247,0.391,0.459
House,House,Republican,Blaine Luetkemeyer,2022,1.731,0.45,0.247,0.493,0.347,0.45,0.247,0.489,0.303
NA,House,Republican,Blaine Luetkemeyer,2024,1.765,NA,NA,NA,NA,0.45,0.247,0.493,0.347
House,House,Republican,Alan Nunnelee,2012,1.622,0.488,0.574,0.468,0.477,0.488,0.574,0.484,0.399
House,House,Republican,Alan Nunnelee,2014,1.601,0.488,0.574,NA,NA,0.488,0.574,0.468,0.477
House,House,Democratic,Tim Ryan,2010,-2.05,-0.402,0.208,-0.438,0.265,-0.402,0.208,-0.405,0.353
House,House,Democratic,Tim Ryan,2012,-1.873,-0.402,0.208,-0.384,0.168,-0.402,0.208,-0.438,0.265
House,House,Democratic,Tim Ryan,2014,-1.768,-0.402,0.208,-0.381,0.036,-0.402,0.208,-0.384,0.168
House,House,Democratic,Tim Ryan,2016,-1.673,-0.402,0.208,-0.414,0.238,-0.402,0.208,-0.381,0.036
House,House,Democratic,Tim Ryan,2018,-1.835,-0.402,0.208,-0.363,0.037,-0.402,0.208,-0.414,0.238
House,House,Democratic,Tim Ryan,2020,-1.994,-0.402,0.208,-0.358,-0.006,-0.402,0.208,-0.363,0.037
NA,House,Democratic,Tim Ryan,2022,-1.842,NA,NA,NA,NA,-0.402,0.208,-0.358,-0.006
House,House,Democratic,Derek Kilmer,2014,-1.811,-0.316,0.005,-0.298,-0.094,-0.316,0.005,-0.296,-0.06
House,House,Democratic,Derek Kilmer,2016,-1.726,-0.316,0.005,-0.342,0.134,-0.316,0.005,-0.298,-0.094
House,House,Democratic,Derek Kilmer,2018,-1.892,-0.316,0.005,-0.415,0.37,-0.316,0.005,-0.342,0.134
House,House,Democratic,Derek Kilmer,2020,-2.022,-0.316,0.005,-0.305,-0.081,-0.316,0.005,-0.415,0.37
House,House,Democratic,Derek Kilmer,2022,-2.056,-0.316,0.005,-0.389,0.206,-0.316,0.005,-0.305,-0.081
NA,House,Democratic,Derek Kilmer,2024,-2.114,NA,NA,NA,NA,-0.316,0.005,-0.389,0.206
House,House,Democratic,Tim Walz,2010,-2.055,-0.275,0.131,-0.289,0.219,-0.275,0.131,-0.268,0.145
House,House,Democratic,Tim Walz,2012,-1.88,-0.275,0.131,-0.254,0.023,-0.275,0.131,-0.289,0.219
House,House,Democratic,Tim Walz,2014,-1.76,-0.275,0.131,-0.261,0.1,-0.275,0.131,-0.254,0.023
House,House,Democratic,Tim Walz,2016,-1.714,-0.275,0.131,-0.291,-0.122,-0.275,0.131,-0.261,0.1
NA,House,Democratic,Tim Walz,2018,-1.973,NA,NA,NA,NA,-0.275,0.131,-0.291,-0.122
House,House,Republican,Justin Amash,2012,1.915,0.654,-0.757,0.879,-0.477,0.654,-0.757,0.821,-0.571
House,House,Republican,Justin Amash,2014,1.802,0.654,-0.757,0.573,-0.82,0.654,-0.757,0.879,-0.477
House,House,Republican,Justin Amash,2016,1.766,0.654,-0.757,0.558,-0.83,0.654,-0.757,0.573,-0.82
House,House,Republican,Justin Amash,2018,1.311,0.654,-0.757,0.919,-0.395,0.654,-0.757,0.558,-0.83
NA,House,Republican,Justin Amash,2020,0.096,NA,NA,NA,NA,0.654,-0.757,0.919,-0.395
House,House,Republican,Bill Huizenga,2012,1.557,0.532,0.047,0.652,0.053,0.532,0.047,0.651,-0.229
House,House,Republican,Bill Huizenga,2014,1.568,0.532,0.047,0.596,-0.043,0.532,0.047,0.652,0.053
House,House,Republican,Bill Huizenga,2016,1.575,0.532,0.047,0.606,0.307,0.532,0.047,0.596,-0.043
House,House,Republican,Bill Huizenga,2018,1.747,0.532,0.047,0.493,-0.034,0.532,0.047,0.606,0.307
House,House,Republican,Bill Huizenga,2020,1.847,0.532,0.047,0.494,0.068,0.532,0.047,0.493,-0.034
House,House,Republican,Bill Huizenga,2022,1.77,0.532,0.047,0.457,0.049,0.532,0.047,0.494,0.068
House,House,Republican,Bill Huizenga,2024,1.684,0.532,0.047,0.374,0.53,0.532,0.047,0.457,0.049
NA,House,Republican,Vernon Ehlers,2010,1.118,NA,NA,NA,NA,0.316,-0.622,0.31,-0.902
House,House,Republican,Mark Amodei,2012,1.38,0.384,0.209,0.397,0.1,0.384,0.209,0.447,-0.035
House,House,Republican,Mark Amodei,2014,1.231,0.384,0.209,0.323,0.459,0.384,0.209,0.397,0.1
House,House,Republican,Mark Amodei,2016,1.26,0.384,0.209,0.322,0.328,0.384,0.209,0.323,0.459
House,House,Republican,Mark Amodei,2018,1.394,0.384,0.209,0.399,0.238,0.384,0.209,0.322,0.328
House,House,Republican,Mark Amodei,2020,1.495,0.384,0.209,0.379,0.166,0.384,0.209,0.399,0.238
House,House,Republican,Mark Amodei,2022,1.467,0.384,0.209,0.418,0.331,0.384,0.209,0.379,0.166
House,House,Republican,Mark Amodei,2024,1.475,0.384,0.209,0.265,0.261,0.384,0.209,0.418,0.331
Senate,House,Republican,Dean Heller,2010,1.499,0.463,-0.459,0.328,-0.425,0.463,-0.459,0.496,-0.509
Senate,Senate,Republican,Dean Heller,2012,1.501,0.463,-0.459,0.458,-0.607,0.463,-0.459,0.328,-0.425
Senate,Senate,Republican,Dean Heller,2014,1.088,0.463,-0.459,0.546,-0.731,0.463,-0.459,0.458,-0.607
Senate,Senate,Republican,Dean Heller,2016,0.979,0.463,-0.459,0.481,-0.581,0.463,-0.459,0.546,-0.731
NA,Senate,Republican,Dean Heller,2018,1.444,NA,NA,NA,NA,0.463,-0.459,0.481,-0.581
House,House,Democratic,Ben Ray Lujan,2010,-2.373,-0.378,0.026,-0.342,-0.032,-0.378,0.026,-0.398,0.114
House,House,Democratic,Ben Ray Lujan,2012,-2.333,-0.378,0.026,-0.382,0.064,-0.378,0.026,-0.342,-0.032
House,House,Democratic,Ben Ray Lujan,2014,-2.261,-0.378,0.026,-0.388,0.108,-0.378,0.026,-0.382,0.064
House,House,Democratic,Ben Ray Lujan,2016,-2.224,-0.378,0.026,-0.347,-0.15,-0.378,0.026,-0.388,0.108
House,House,Democratic,Ben Ray Lujan,2018,-2.216,-0.378,0.026,-0.31,-0.224,-0.378,0.026,-0.347,-0.15
Senate,House,Democratic,Ben Ray Lujan,2020,-2.324,-0.378,0.026,-0.421,0.048,-0.378,0.026,-0.31,-0.224
Senate,Senate,Democratic,Ben Ray Lujan,2022,-2.375,-0.378,0.026,-0.427,0.014,-0.378,0.026,-0.421,0.048
Senate,Senate,Democratic,Ben Ray Lujan,2024,-2.267,-0.378,0.026,-0.483,0.283,-0.378,0.026,-0.427,0.014
House,House,Democratic,Rosa L. DeLauro,2010,-2.748,-0.414,-0.108,-0.449,-0.024,-0.414,-0.108,-0.448,-0.052
House,House,Democratic,Rosa L. DeLauro,2012,-2.66,-0.414,-0.108,-0.421,-0.191,-0.414,-0.108,-0.449,-0.024
House,House,Democratic,Rosa L. DeLauro,2014,-2.624,-0.414,-0.108,-0.424,-0.075,-0.414,-0.108,-0.421,-0.191
House,House,Democratic,Rosa L. DeLauro,2016,-2.405,-0.414,-0.108,-0.365,-0.245,-0.414,-0.108,-0.424,-0.075
House,House,Democratic,Rosa L. DeLauro,2018,-2.538,-0.414,-0.108,-0.378,-0.042,-0.414,-0.108,-0.365,-0.245
House,House,Democratic,Rosa L. DeLauro,2020,-2.581,-0.414,-0.108,-0.257,-0.29,-0.414,-0.108,-0.378,-0.042
House,House,Democratic,Rosa L. DeLauro,2022,-2.625,-0.414,-0.108,-0.444,0.071,-0.414,-0.108,-0.257,-0.29
House,House,Democratic,Rosa L. DeLauro,2024,-2.753,-0.414,-0.108,-0.256,-0.51,-0.414,-0.108,-0.444,0.071
House,House,Republican,Thaddeus McCotter,2010,1.567,0.335,0.012,0.36,0.003,0.335,0.012,0.394,-0.396
NA,House,Republican,Thaddeus McCotter,2012,1.553,NA,NA,NA,NA,0.335,0.012,0.36,0.003
House,House,Republican,Blake Farenthold,2012,1.58,0.548,0.016,0.509,0.091,0.548,0.016,0.529,0.118
House,House,Republican,Blake Farenthold,2014,1.643,0.548,0.016,0.585,-0.133,0.548,0.016,0.509,0.091
House,House,Republican,Blake Farenthold,2016,1.684,0.548,0.016,0.636,0.005,0.548,0.016,0.585,-0.133
NA,House,Democratic,"Solomon Ortiz, Sr.",2010,-2.107,NA,NA,NA,NA,-0.272,0.712,-0.359,0.587
House,House,Republican,Mike Turner,2010,1.304,0.266,0.254,0.254,0.171,0.266,0.254,0.229,0.102
House,House,Republican,Mike Turner,2012,1.281,0.266,0.254,0.253,0.421,0.266,0.254,0.254,0.171
House,House,Republican,Mike Turner,2014,1.233,0.266,0.254,0.246,0.426,0.266,0.254,0.253,0.421
House,House,Republican,Mike Turner,2016,1.243,0.266,0.254,0.242,0.465,0.266,0.254,0.246,0.426
House,House,Republican,Mike Turner,2018,1.478,0.266,0.254,0.307,0.259,0.266,0.254,0.242,0.465
House,House,Republican,Mike Turner,2020,1.653,0.266,0.254,0.304,0.344,0.266,0.254,0.307,0.259
House,House,Republican,Mike Turner,2022,1.512,0.266,0.254,0.234,0.476,0.266,0.254,0.304,0.344
House,House,Republican,Mike Turner,2024,1.391,0.266,0.254,0.199,0.259,0.266,0.254,0.234,0.476
House,House,Republican,Kevin Cramer,2014,1.491,0.398,0.371,0.396,0.263,0.398,0.371,0.35,0.356
House,House,Republican,Kevin Cramer,2016,1.473,0.398,0.371,0.43,0.301,0.398,0.371,0.396,0.263
Senate,House,Republican,Kevin Cramer,2018,2.216,0.398,0.371,0.373,0.247,0.398,0.371,0.43,0.301
Senate,Senate,Republican,Kevin Cramer,2020,2.087,0.398,0.371,0.386,0.532,0.398,0.371,0.373,0.247
Senate,Senate,Republican,Kevin Cramer,2022,1.889,0.398,0.371,0.402,0.306,0.398,0.371,0.386,0.532
Senate,Senate,Republican,Kevin Cramer,2024,1.897,0.398,0.371,0.457,0.379,0.398,0.371,0.402,0.306
House,House,Republican,Tom Petri,2010,1.09,0.379,-0.367,0.549,-0.624,0.379,-0.367,0.539,-0.738
House,House,Republican,Tom Petri,2012,1.067,0.379,-0.367,0.55,-0.552,0.379,-0.367,0.549,-0.624
NA,House,Republican,Tom Petri,2014,0.861,NA,NA,NA,NA,0.379,-0.367,0.55,-0.552
House,House,Republican,James Lankford,2012,2.017,0.591,0.147,0.593,0.246,0.591,0.147,0.535,0.154
Senate,House,Republican,James Lankford,2014,1.96,0.591,0.147,0.624,-0.036,0.591,0.147,0.593,0.246
Senate,Senate,Republican,James Lankford,2016,1.995,0.591,0.147,0.683,-0.023,0.591,0.147,0.624,-0.036
Senate,Senate,Republican,James Lankford,2018,1.988,0.591,0.147,0.687,0.296,0.591,0.147,0.683,-0.023
Senate,Senate,Republican,James Lankford,2020,2.039,0.591,0.147,0.67,0.001,0.591,0.147,0.687,0.296
Senate,Senate,Republican,James Lankford,2022,2.015,0.591,0.147,0.538,0.128,0.591,0.147,0.67,0.001
Senate,Senate,Republican,James Lankford,2024,1.687,0.591,0.147,0.536,0.142,0.591,0.147,0.538,0.128
NA,House,Republican,Mary Fallin,2010,1.689,NA,NA,NA,NA,0.432,0.244,0.478,0.016
House,House,Republican,Rob Woodall,2012,1.62,0.593,-0.173,0.699,-0.383,0.593,-0.173,0.687,-0.274
House,House,Republican,Rob Woodall,2014,1.566,0.593,-0.173,0.597,-0.269,0.593,-0.173,0.699,-0.383
House,House,Republican,Rob Woodall,2016,1.456,0.593,-0.173,0.564,0.053,0.593,-0.173,0.597,-0.269
House,House,Republican,Rob Woodall,2018,1.568,0.593,-0.173,0.501,0.112,0.593,-0.173,0.564,0.053
NA,House,Republican,Rob Woodall,2020,1.593,NA,NA,NA,NA,0.593,-0.173,0.501,0.112
NA,House,Republican,John Linder,2010,1.711,NA,NA,NA,NA,0.559,-0.008,0.651,-0.206
House,House,Republican,Kay Granger,2010,1.134,0.403,0.243,0.341,0.586,0.403,0.243,0.395,0.59
House,House,Republican,Kay Granger,2012,1.211,0.403,0.243,0.426,0.596,0.403,0.243,0.341,0.586
House,House,Republican,Kay Granger,2014,1.153,0.403,0.243,0.393,0.82,0.403,0.243,0.426,0.596
House,House,Republican,Kay Granger,2016,1.099,0.403,0.243,0.431,0.35,0.403,0.243,0.393,0.82
House,House,Republican,Kay Granger,2018,1.29,0.403,0.243,0.421,0.396,0.403,0.243,0.431,0.35
House,House,Republican,Kay Granger,2020,1.359,0.403,0.243,0.465,0.201,0.403,0.243,0.421,0.396
House,House,Republican,Kay Granger,2022,1.337,0.403,0.243,0.456,0.462,0.403,0.243,0.465,0.201
NA,House,Republican,Kay Granger,2024,1.319,NA,NA,NA,NA,0.403,0.243,0.456,0.462
House,House,Democratic,Maurice D. Hinchey,2010,-2.617,-0.575,-0.007,-0.559,0.047,-0.575,-0.007,-0.595,0.238
NA,House,Democratic,Maurice D. Hinchey,2012,-2.495,NA,NA,NA,NA,-0.575,-0.007,-0.559,0.047
House,House,Republican,Richard Hanna,2012,0.857,0.215,-0.145,0.238,-0.194,0.215,-0.145,0.238,-0.197
House,House,Republican,Richard Hanna,2014,0.366,0.215,-0.145,0.199,-0.158,0.215,-0.145,0.238,-0.194
NA,House,Republican,Richard Hanna,2016,0.17,NA,NA,NA,NA,0.215,-0.145,0.199,-0.158
House,House,Democratic,Ed Markey,2010,-2.616,-0.517,-0.469,-0.535,-0.399,-0.517,-0.469,-0.469,-0.366
Senate,House,Democratic,Ed Markey,2012,-2.497,-0.517,-0.469,-0.536,-0.716,-0.517,-0.469,-0.535,-0.399
Senate,Senate,Democratic,Ed Markey,2014,-2.51,-0.517,-0.469,-0.635,-0.544,-0.517,-0.469,-0.536,-0.716
Senate,Senate,Democratic,Ed Markey,2016,-2.274,-0.517,-0.469,-0.585,-0.504,-0.517,-0.469,-0.635,-0.544
Senate,Senate,Democratic,Ed Markey,2018,-2.272,-0.517,-0.469,-0.625,-0.759,-0.517,-0.469,-0.585,-0.504
Senate,Senate,Democratic,Ed Markey,2020,-2.947,-0.517,-0.469,-0.647,-0.472,-0.517,-0.469,-0.625,-0.759
Senate,Senate,Democratic,Ed Markey,2022,-2.846,-0.517,-0.469,-0.669,-0.744,-0.517,-0.469,-0.647,-0.472
Senate,Senate,Democratic,Ed Markey,2024,-2.745,-0.517,-0.469,-0.771,-0.637,-0.517,-0.469,-0.669,-0.744
