state,district,candidate,type,chamber,2006,2007,2008,2009,2010_2012,2010_2014,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Unique_Project_ID,bioguide_id,Ran prior to 2019,Notes,Next ID
illinois,7,Bobby L. Rush,Rep,,,,,,5,,,,6,,,,,,,,,,,1278,R000515,2,,
illinois,1,Bobby Rush,Rep,,,15,,28,63,21,169,40,139,,154,40,177,48,130,34,114,52,108,1278,R000515,12,,
illinois,13,Bobby Schilling,Rep,,,,,,12,,,,33,,,,,,,,,,,1279,S001182,2,,
illinois,17,Bobby Schilling,Rep,House,,,,,47,22,,48,115,,123,,,,,,,,,1279,S001182,5,,
illinois,18,Bobby Schilling,Rep,,,,,,5,,,,20,,,,,,,,,,,1279,S001182,2,,
illinois,12,Brad Harriman,Rep,,,,,,12,,,,1,,,,,,,,,,,1280,,2,,
illinois,10,Brad Schneider,Rep,House,,,,,55,19,,,134,32,141,,134,28,,26,110,51,107,1281,S001190,7,,
illinois,10,Bradley Schneider,Rep,,,,,,,,,,,,,,,,128,,,,,1281,S001190,1,,
illinois,12,Brendan Kelly,Rep,,,,,,,,,,,,,,,,113,,,,,1282,,1,,
illinois,2,Brian Woodworth,Rep,,,,,,63,,,,132,,,,,,,,,,,1283,,2,,
illinois,0,Bruce Rauner,Gov,,,,,,,,,,,,,602,2615,723,2418,,,,,1284,,4,,
illinois,11,Catalina Lauf,Rep,,,,,,,,,,,,,,,,,,,,108,4261,,0,,
illinois,12,"Charles ""C.J."" Baricevic",Rep,,,,,,,,,,,,,,107,,,,,,,1285,,1,,
illinois,7,Charles Hutchinson,Rep,,71,,,,,,,,,,,,,,,,,,,1286,,1,,
illinois,17,Cheri Bustos,Rep,House,,,,,48,23,,,114,43,121,38,153,40,155,40,132,52,85,1287,B001286,9,,
illinois,12,Chip Markel,Rep,,,,,,,,,,,,,,,,,,,,149,4262,,0,,
illinois,8,Chris Dargis,Rep,,,,,,,,,,,,,,,,,,,,117,4263,,0,,
illinois,4,Chuy Garcia,Rep,,,,,,,,,,,,,,,,,,,,84,1328,G000586,0,,
illinois,18,Colleen Callahan,Rep,,,,51,,,,,,,,,,,,,,,,,1288,,1,,
illinois,7,Craig Cameron,Rep,,,,,,,,,,,,,,,,137,,149,,,1289,,1,,
illinois,3,Dan Lipinski,Rep,,,,,21,,,,40,,28,,40,,36,,36,109,,,48,L000563,5,,
illinois,5,Dan Schmitt,Rep,,,,,,48,,,,103,,,,,,,,,,,1290,,2,,
illinois,16,Dani Brzozowski,Rep,,,,,,,,,,,,,,,,,,140,,,1291,,0,,
illinois,4,Daniel Cunningham,Rep,,,,6,,,,,,,,,,,,,,,,,1292,,1,,
illinois,19,Daniel Davis,Rep,,,,6,,,,,,,,,,,,,,,,,1293,D000096,1,,
illinois,10,Daniel J. Seals,Rep,,83,,37,,,,,,,,,,,,,,,,,1294,,2,,
illinois,3,Daniel Lipinski,Rep,House,55,10,,,42,21,105,,94,,122,,127,,113,,,,,48,L000563,9,,
illinois,4,Daniel Lipinski,Rep,,,,,,1,,,,,,,,,,,,,,,48,L000563,1,,
illinois,7,Daniel Lipinski,Rep,,,,,,1,,,,,,,,,,,,,,,48,L000563,1,,
illinois,11,Daniel Lipinski,Rep,,,,,,2,,,,,,,,,,,,,,,48,L000563,1,,
illinois,10,Daniel Seals,Rep,,,,,,,,126,,,,,,,,,,,,,1294,,1,,
illinois,1,Daniel William Lipinski,Rep,,,,,,1,,,,1,,,,,,,,,,,48,L000563,2,,
illinois,3,Daniel William Lipinski,Rep,,,,29,,,,,,,,,,,,,,,,,48,L000563,1,,
illinois,4,Daniel William Lipinski,Rep,,,,,,10,,,,14,,,,,,,,,,,48,L000563,2,,
illinois,5,Daniel William Lipinski,Rep,,,,,,1,,,,1,,,,,,,,,,,48,L000563,2,,
illinois,7,Daniel William Lipinski,Rep,,,,,,2,,,,6,,,,,,,,,,,48,L000563,2,,
illinois,1,Danny Davis,Rep,,,,,,1,,,,,,,,,,,,,,,1293,D000096,1,,
illinois,7,Danny Davis,Rep,,,17,,19,4,12,125,,,,145,,,,137,,149,,,1293,D000096,7,,
illinois,9,Danny Davis,Rep,,,,,,2,,,,,,,,,,,,,,,1293,D000096,1,,
illinois,13,Danny Davis,Rep,,,,,,1,,,,,,,,,,,,,,,1293,D000096,1,,
illinois,1,Danny K. Davis,Rep,,,,,,,,,,2,,,,,,,,,,5,1293,D000096,1,,
illinois,3,Danny K. Davis,Rep,,,,,,,,,,,,,,,,,,,,7,1293,D000096,0,,
illinois,4,Danny K. Davis,Rep,,,,,,1,,,,,,,,,,,,,,,1293,D000096,1,,
illinois,5,Danny K. Davis,Rep,,,,,,3,,,,1,,,,,,,,,,,1293,D000096,2,,
illinois,7,Danny K. Davis,Rep,House,72,,29,,39,,,30,113,35,,36,156,44,,32,,58,150,1293,D000096,9,,
illinois,9,Danny K. Davis,Rep,,,,,,1,,,,1,,,,,,,,,,,1293,D000096,2,,
illinois,19,Danny L. Stover,Rep,,80,,,,,,,,,,,,,,,,,,,1295,,1,,
illinois,13,Darin LaHood,Rep,,,,,,,,,,,,,,,,,,,,8,1296,L000585,0,,
illinois,16,Darin LaHood,Rep,House,,,,,,,,,,,,,,,,,,,160,1296,L000585,0,,
illinois,17,Darin LaHood,Rep,,,,,,,,,,,,,,,,,,,,26,1296,L000585,0,,
illinois,18,Darin LaHood,Rep,House,,,,,,,,,,,,23,125,38,145,40,137,57,,1296,L000585,4,,
illinois,11,Darlene Senger,Rep,,,,,,,26,,,,,127,,,,,,,,,1297,,2,,
illinois,18,Darrel Miller,Rep,,,,,,,24,,,,,114,,,,,,,,,1298,,2,,
illinois,13,David Gill,Rep,,,,,,53,,,,125,,,,,,,,,,,1299,,2,,
illinois,15,David Gill,Rep,,,,,,,,133,,,,,,,,,,,,,1299,,1,,
illinois,15,David M. Gill,Rep,,91,,,,,,,,,,,,,,,,,,,1299,,1,,
illinois,2,David Merkle,Rep,,,,,,,,,,,,,,,,144,,,,,1300,,1,,
illinois,5,David Ratowitz,Rep,,,,,,,,105,,,,,,,,,,,,,1301,,1,,
illinois,11,Debbie Halvorson,Rep,,,,,33,,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,7,Debbie Wasserman Schultz,Rep,,,,,,1,,,,,,,,,,,,,,,906,W000797,1,,
illinois,11,"Deborah ""Debbie"" Halvorson",Rep,,,,52,,,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,1,Deborah Halvorson,Rep,,,,,,6,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,2,Deborah Halvorson,Rep,,,,,,18,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,3,Deborah Halvorson,Rep,,,,,,1,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,11,Deborah Halvorson,Rep,,,,,,11,,132,,,,,,,,,,,,,1302,H001044,2,,
illinois,13,Deborah Halvorson,Rep,,,,,,1,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,14,Deborah Halvorson,Rep,,,,,,1,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,15,Deborah Halvorson,Rep,,,,,,1,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,16,Deborah Halvorson,Rep,,,,,,17,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,18,Deborah Halvorson,Rep,,,,,,4,,,,,,,,,,,,,,,1302,H001044,1,,
illinois,18,Deirdre 'DK' Hirner,Rep,,,,,,,,128,,,,,,,,,,,,,1303,,1,,
illinois,3,Delia Ramirez,Rep,House,,,,,,,,,,,,,,,,,,,120,4265,R000617,0,,
illinois,14,Dennis Anderson,Rep,,,,,,54,33,,,113,,126,,,,,,,,,1304,,4,,
illinois,14,Dennis J. Hastert,Rep,,113,,,,,,,,,,,,,,,,,,,1305,H000323,1,,
illinois,0,Dick Durbin,Sen,,,376,882,,,413,2475,764,,,2334,602,2604,723,2417,677,2292,988,2229,1306,D000563,10,,
illinois,1,Dina Titus,Rep,,,,,,1,,,,,,,,,,,,,,,1307,T000468,1,,
illinois,6,Donald A. Manzullo,Rep,,,,,,4,,,,22,,,,,,,,,,,1308,M001138,2,,
illinois,14,Donald A. Manzullo,Rep,,,,,,11,,,,13,,,,,,,,,,,1308,M001138,2,,
illinois,16,Donald A. Manzullo,Rep,House,88,,57,,21,,,,44,,,,,,,,,,,1308,M001138,4,,
illinois,17,Donald A. Manzullo,Rep,,,,,,17,,,,32,,,,,,,,,,,1308,M001138,2,,
illinois,5,Donald Manzullo,Rep,,,,,,1,,,,,,,,,,,,,,,1308,M001138,1,,
illinois,6,Donald Manzullo,Rep,,,,,,1,,,,,,,,,,,,,,,1308,M001138,1,,
illinois,14,Donald Manzullo,Rep,,,,,,2,,,,,,,,,,,,,,,1308,M001138,1,,
illinois,16,Donald Manzullo,Rep,,,16,,33,1,,134,46,,,,,,,,,,,,1308,M001138,5,,
illinois,1,Donald Peloquin,Rep,,,,,,56,,,,138,,,,,,,,,,,1309,,2,,
illinois,10,Douglas Bennett,Rep,,,,,,,,,,,,,,,,128,,,,,1310,,1,,
illinois,16,Elizabeth Haderlein,Rep,,,,,,,,,,,,,,,,,,,,160,4266,,0,,
illinois,1,Eric Carlson,Rep,,,,,,,,,,,,,,,,,,,,139,4267,,0,,
illinois,17,Eric Sorensen,Rep,House,,,,,,,,,,,,,,,,,,,130,4268,,0,,
illinois,15,Eric Thorsand,Rep,,,,,,,19,,,,,93,,,,,,,,,1311,,2,,
illinois,2,Eric Wallace,Rep,,,,,,,28,,,,,156,,,,,,,,,1312,,2,,
illinois,15,Erika Weaver,Rep,,,,,,,,,,,,,,,,,,104,,,1313,,0,,
illinois,17,Esther Joy King,Rep,,,,,,,,,,,,,,,,,,132,,130,1314,,0,,
illinois,6,G. 'Bill' Foster,Rep,,,,,,10,,,,,,,,,,,,,,,1277,F000454,1,,
illinois,8,G. 'Bill' Foster,Rep,,,,,,7,,,,,,,,,,,,,,,1277,F000454,1,,
illinois,11,G. 'Bill' Foster,Rep,,,,,,12,,,,,,,,,,,,,,,1277,F000454,1,,
illinois,14,G. 'Bill' Foster,Rep,,,,,,18,,161,,,,,,,,,,,,,1277,F000454,2,,
illinois,16,G. 'Bill' Foster,Rep,,,,,,2,,,,,,,,,,,,,,,1277,F000454,1,,
illinois,17,G. 'Bill' Foster,Rep,,,,,,2,,,,,,,,,,,,,,,1277,F000454,1,,
illinois,16,George Gaulrapp,Rep,,,,,,,,130,,,,,,,,,,,,,1315,,1,,
illinois,18,George Petrilli,Rep,,,,,,,,,,,,,,,,,,137,,,1316,,0,,
illinois,4,Hector Concepcion,Rep,,,,,,26,15,,,80,,98,,,,,,,,,1317,,4,,
illinois,2,Isaac Hayes,Rep,,,,,,,,152,,,,,,,,,,,,,1318,,1,,
illinois,4,Israel Vasquez,Rep,,,,,,,,73,,,,,,,,,,,,,1319,,1,,
illinois,0,J. B. Pritzker,Gov,,,,,,,,,,,,,,,,,677,2292,988,2227,1320,,0,,
illinois,14,J. Dennis Hastert,Rep,,,23,,,,,,,,,,,,,,,,,,1305,H000323,1,,
illinois,4,James Falakos,Rep,,,,,,,,,,,,,,,,,,,,84,4269,,0,,
illinois,3,Jan Schakowsky,Rep,,,,,,,,,,,,,,,,,,,,1,951,S001145,0,,
illinois,9,Jan Schakowsky,Rep,,,29,42,38,48,,,41,147,35,,38,,57,166,48,171,60,159,951,S001145,10,,
illinois,4,Janice D. Schakowsky,Rep,,,,,,,,,,1,,,,,,,,,,,951,S001145,1,,
illinois,5,Janice D. Schakowsky,Rep,,,,,,6,,,,4,,,,,,,,,,,951,S001145,2,,
illinois,9,Janice D. Schakowsky,Rep,House,87,,,,,,,,,,,,,,,,,,,951,S001145,1,,
illinois,10,Janice D. Schakowsky,Rep,,,,,,3,,,,10,,,,,,,,,,,951,S001145,2,,
illinois,12,Janice D. Schakowsky,Rep,,,,,,,,,,1,,,,,,,,,,,951,S001145,1,,
illinois,4,Janice Schakowsky,Rep,,,,,,1,,,,,,,,,,,,,,,951,S001145,1,,
illinois,5,Janice Schakowsky,Rep,,,,,,2,,,,,,,,,,,,,,,951,S001145,1,,
illinois,9,Janice Schakowsky,Rep,,,,,,4,29,146,,,,187,,193,,,,,,,951,S001145,5,,
illinois,1,Jason E. Tabour,Rep,,75,,,,,,,,,,,,,,,,,,,1321,,1,,
illinois,12,Jason Plummer,Rep,,,,,,40,,,,100,,,,,,,,,,,1322,,2,,
illinois,5,Jean Schmidt,Rep,,,,,,1,,,,,,,,,,,,,,,1323,S001164,1,,
illinois,6,Jeanne Ives,Rep,,,,,,,,,,,,,,,,,,132,,,1324,,0,,
illinois,7,Jeffrey A. Leef,Rep,,,,,,,,,,,,,,156,,,,,,,1325,,1,,
illinois,12,Jerry Costello,Rep,,,14,,26,2,,106,46,,,,,,,,,,,,434,C000794,5,,
illinois,12,Jerry F. Costello,Rep,,89,,59,,35,,,,96,,,,,,,,,,,434,C000794,4,,
illinois,13,Jerry F. Costello,Rep,,,,,,1,,,,1,,,,,,,,,,,434,C000794,2,,
illinois,11,Jerry Weller,Rep,,89,16,53,,,,,,,,,,,,,,,,,1326,W000273,3,,
illinois,2,Jesse Jackson,Rep,,,15,,,,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,2,Jesse Jackson Jr.,Rep,,,,,,63,,,,135,,,,,,,,,,,1327,J000283,2,,
illinois,1,"Jesse Jackson, Jr.",Rep,,,,,,1,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,2,"Jesse Jackson, Jr.",Rep,,,,,45,,,150,41,,,,,,,,,,,,1327,J000283,3,,
illinois,3,"Jesse Jackson, Jr.",Rep,,,,,,1,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,5,"Jesse Jackson, Jr.",Rep,,,,,,1,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,2,Jesse L. Jackson,Rep,House,78,,,,,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,1,"Jesse L. Jackson, Jr.",Rep,,,,,,3,,,,1,,,,,,,,,,,1327,J000283,2,,
illinois,2,"Jesse L. Jackson, Jr.",Rep,,,,50,,,,,,,,,,,,,,,,,1327,J000283,1,,
illinois,3,"Jesus ""Chuy"" Garcia",Rep,,,,,,,,,,,,,,,,,,,,49,1328,G000586,0,,
illinois,4,"Jesus ""Chuy"" Garcia",Rep,,,,,,,,,,,,,,,,124,30,99,48,,1328,G000586,1,,
illinois,4,Jesus Solorio,Rep,,,,,,,,,,,,,,,,,,99,,,1329,,0,,
illinois,6,Jill Morgenthaler,Rep,,,,25,,,,,,,,,,,,,,,,,1330,,1,,
illinois,0,Jim Oberweis,Sen,,,,,,,413,,,,,2325,,,,,,,,,1331,,2,,
illinois,14,Jim Oberweis,Rep,,,,62,,,,,,,,,,,,,,129,,,1331,,1,,
illinois,14,Jim Walz,Rep,,,,,,,,,,,,,,151,,,,,,,1332,,1,,
illinois,1,Jimmy Lee Tillman,Rep,,,,,,,22,,,,,156,,,,,,,,,1333,,2,,
illinois,1,Jimmy Lee Tillman II,Rep,,,,,,,,,,,,,,,,130,,,,,1333,,1,,
illinois,8,"Jitendra ""JD"" Diganvker",Rep,,,,,,,,,,,,,,,,123,,,,,1334,,1,,
illinois,9,Joan McCarthy Lasonde,Rep,,,,,,,,,,,,,,190,,,,,,,1335,,1,,
illinois,6,Joe Walsh,Rep,,,,,,10,,,,21,,,,,,,,,,,1336,W000811,2,,
illinois,8,Joe Walsh,Rep,House,,,,,47,,166,61,124,,,,,,,,,,,1336,W000811,4,,
illinois,10,Joe Walsh,Rep,,,,,,19,,,,51,,,,,,,,,,,1336,W000811,2,,
illinois,13,Joe Walsh,Rep,,,,,,,,,,1,,,,,,,,,,,1336,W000811,1,,
illinois,14,Joe Walsh,Rep,,,,,,15,,,,28,,,,,,,,,,,1336,W000811,2,,
illinois,9,Joel Pollak,Rep,,,,,,,,149,,,,,,,,,,,,,1337,,1,,
illinois,9,John Dingell,Rep,,,,,,1,,,,,,,,,,,,,,,1338,D000355,1,,
illinois,9,John Elleson,Rep,,,,,,,,,,,,,,,,166,,,,,1339,,1,,
illinois,2,John F. Morrow,Rep,,,,,,,,,,,,,,203,,,,,,,1340,,1,,
illinois,12,John M. Shimkus,Rep,,,,,,5,,,,4,,,,,,,,,,,1341,S000364,2,,
illinois,13,John M. Shimkus,Rep,,,,,,14,,,,27,,,,,,,,,,,1341,S000364,2,,
illinois,18,John M. Shimkus,Rep,,,,,,1,,,,5,,,,,,,,,,,1341,S000364,2,,
illinois,19,John M. Shimkus,Rep,House,,,27,,,,,,,,,,,,,,,,,1341,S000364,1,,
illinois,11,John Pavich,Rep,,89,,,,,,,,,,,,,,,,,,,1342,,1,,
illinois,13,John Shimkus,Rep,,,,,,1,,,,,,,,,,,,,,,1341,S000364,1,,
illinois,15,John Shimkus,Rep,,,,,,29,19,,,79,33,92,26,95,22,110,33,104,,,1341,S000364,9,,
illinois,19,John Shimkus,Rep,,81,19,,28,,,113,27,,,,,,,,,,,,1341,S000364,5,,
illinois,14,"Jonathan ""John"" Laesch",Rep,,115,,,,,,,,,,,,,,,,,,,1343,,1,,
illinois,1,Jonathan Jackson,Rep,House,,,,,,,,,,,,,,,,,,,139,4270,J000309,0,,
illinois,16,Joseph Schreiner,Rep,,,,,,,,,,,,,,131,,,,,,,1344,,1,Might have been a libertarian candidated in 2016 but cannot find him anywhere. Kinzinger won with 99.95% of vote,
illinois,10,Joseph Severino,Rep,,,,,,,,,,,,,,,,,,,,107,4271,,0,,
illinois,13,Joseph Shannon,Rep,,85,,,,,,,,,,,,,,,,,,,1345,,1,,
illinois,13,Judith Biggert,Rep,,,20,,,,,,,,,,,,,,,,,,1346,B001232,1,,
illinois,0,Judy Baar Topinka,Gov,,1559,,,,,,,,,,,,,,,,,,,1347,,1,,
illinois,1,Judy Biggert,Rep,,,,,,4,,,,1,,,,,,,,,,,1346,B001232,2,,
illinois,3,Judy Biggert,Rep,,,,,,11,,,,25,,,,,,,,,,,1346,B001232,2,,
illinois,6,Judy Biggert,Rep,,,,,,8,,,,18,,,,,,,,,,,1346,B001232,2,,
illinois,8,Judy Biggert,Rep,,,,,,1,,,,,,,,,,,,,,,1346,B001232,1,,
illinois,11,Judy Biggert,Rep,,,,,,63,,,,130,,,,,,,,,,,1346,B001232,2,,
illinois,13,Judy Biggert,Rep,,84,,50,22,,,162,49,,,,,,,,,,,,1346,B001232,5,,
illinois,14,Judy Biggert,Rep,,,,,,6,,,,8,,,,,,,,,,,1346,B001232,2,,
illinois,16,Judy Biggert,Rep,,,,,,1,,,,,,,,,,,,,,,1346,B001232,1,,
illinois,18,Junius Rodriguez,Rep,,,,,,,,,,,,,,125,,145,,,,,1348,,2,,
illinois,3,Justin Burau,Rep,,,,,,,,,,,,,,,,,,,,120,4272,,0,,
illinois,0,Kathy Salvi,Sen,,,,,,,,,,,,,,,,,,,,2229,4273,,0,,
illinois,6,Keith Pekau,Rep,,,,,,,,,,,,,,,,,,,,129,4274,,0,,
illinois,5,Kevin Edward White,Rep,,69,,,,,,,,,,,,,,,,,,,1349,,1,,
illinois,15,Kevin Gaither,Rep,,,,,,,,,,,,,,,,110,,,,,1350,,1,,
illinois,6,L. Tammy Duckworth,Rep,,76,,,,,,,,,,,,,,,,,,,1351,D000622,1,,
illinois,3,Lauren Underwood,Rep,,,,,,,,,,,,,,,,,,,,1,1352,U000040,0,,
illinois,14,Lauren Underwood,Rep,House,,,,,,,,,,,,,,,128,43,129,62,111,1352,U000040,1,,
illinois,8,Lawrence Kaifesh,Rep,,,,,,,23,,,,,123,,,,,,,,,1353,,2,,
illinois,6,Leslie Coolidge,Rep,,,,,,48,,,,114,,,,,,,,,,,1354,,2,,
illinois,4,Luis Gutierrez,Rep,,,,,21,42,15,73,18,81,27,97,35,115,40,124,,,,,1355,G000535,12,,
illinois,5,Luis Gutierrez,Rep,,,,,,1,,,,,,,,,,,,,,,1355,G000535,1,,
illinois,4,Luis Gutiérrez,Rep,,,8,,,,,,,,,,,,,,,,,,1355,G000535,1,,
illinois,4,Luis V. Gutierrez,Rep,,43,,20,,,,,,,,,,,,,,,,,1355,G000535,2,,
illinois,5,Luis V. Gutierrez,Rep,,,,,,6,,,,4,,,,,,,,,,,1355,G000535,2,,
illinois,7,Luis V. Gutierrez,Rep,,,,,,3,,,,5,,,,,,,,,,,1355,G000535,2,,
illinois,9,Luis V. Gutierrez,Rep,,,,,,,,,,1,,,,,,,,,,,1355,G000535,1,,
illinois,1,Marie Newman,Rep,,,,,,,,,,,,,,,,,,,,7,1356,N000192,0,,
illinois,3,Marie Newman,Rep,House,,,,,,,,,,,,,,,,,109,53,4,1356,N000192,0,,
illinois,0,Mark Curran,Sen,,,,,,,,,,,,,,,,,,2292,,,1357,,0,,
illinois,13,Mark D. Wicklund,Rep,,,,,,,,,,,,,,148,,,,,,,1358,,1,,
illinois,0,Mark Kirk,Sen,,,,,,,414,1108,765,,610,2326,602,,,,,,,,1359,K000360,6,,
illinois,5,Mark Kirk,Rep,,,,,,1,,,,,,,,,,,,,,,1359,K000360,1,,
illinois,9,Mark Kirk,Rep,,,,,,8,,,,,,,,,,,,,,,1359,K000360,1,,
illinois,10,Mark Kirk,Rep,,,22,,24,32,,,,,,,,,,,,,,,1359,K000360,3,,
illinois,0,Mark Steven Kirk,Sen,Senate,,,,,853,,1357,,2033,,,,2608,,,,,,,1359,K000360,4,,
illinois,10,Mark Steven Kirk,Rep,House,84,,40,,,,,,,,,,,,,,,,,1359,K000360,2,,
illinois,4,Mark Wayne Lorch,Rep,,,,,,,,,,,,,,,,124,,,,,1360,,1,,
illinois,7,Mark Weiman,Rep,,,,,,,,125,,,,,,,,,,,,,1361,,1,,
illinois,11,Marty Ozinga,Rep,,,,57,,,,,,,,,,,,,,,,,1362,,1,,
illinois,13,Mary Miller,Rep,,,,,,,,,,,,,,,,,,,,7,1363,M001211,0,,
illinois,15,Mary Miller,Rep,,,,,,,,,,,,,,,,,,104,45,143,1363,M001211,0,,
illinois,9,Max Rice,Rep,,,,,,,,,,,,,,,,,,,,159,4275,,0,,
illinois,4,Melissa Bean,Rep,,,,,,1,,,,,,,,,,,,,,,1011,B001253,1,,
illinois,6,Melissa Bean,Rep,,,,,,12,,,,,,,,,,,,,,,1011,B001253,1,,
illinois,8,Melissa Bean,Rep,,,19,55,32,10,,166,,,,,,,,,,,,,1011,B001253,5,,
illinois,10,Melissa Bean,Rep,,,,,,17,,,,,,,,,,,,,,,1011,B001253,1,,
illinois,14,Melissa Bean,Rep,,,,,,17,,,,,,,,,,,,,,,1011,B001253,1,,
illinois,8,Melissa L. Bean,Rep,House,94,,,,,,,,,,,,,,,,,,,1011,B001253,1,,
illinois,3,Michael Bendas,Rep,,,,,,,,106,,,,,,,,,,,,,1364,,1,,
illinois,9,Michael Benjamin Younan,Rep,,,,20,,,,,,,,,,,,,,,,,1365,,1,,
illinois,3,Michael Hawkins,Rep,,,,6,,,,,,,,,,,,,,,,,1366,,1,,
illinois,6,Michael Mason,Rep,,,,,,,32,,,,,121,,,,,,,,,1367,,2,,
illinois,9,Michael P. Shannon,Rep,,89,,,,,,,,,,,,,,,,,,,1368,,1,,
illinois,5,Michael Quigley,Rep,,,,,,,,,24,,34,,,,,,,,,,1369,Q000023,2,,
illinois,12,Mike Bost,Rep,House,,,,,,20,,,,,115,33,107,31,113,35,112,55,149,1370,B001295,6,,
illinois,13,Mike Bost,Rep,,,,,,,,,,,,,,,,,,,,34,1370,B001295,0,,
illinois,3,Mike Fricilone,Rep,,,,,,,,,,,,,,,,,,109,,,1371,,0,,
illinois,1,Mike Quigley,Rep,,,,,,,,,,,,,,,,,,,,1,1369,Q000023,0,,
illinois,3,Mike Quigley,Rep,,,,,,1,,,,,,,,,,,,,,20,1369,Q000023,1,,
illinois,4,Mike Quigley,Rep,,,,,,6,,,,12,,,,,,,,,,,1369,Q000023,2,,
illinois,5,Mike Quigley,Rep,House,,,,31,4,24,103,,,,151,33,149,47,149,50,147,62,146,1369,Q000023,9,,
illinois,7,Mike Quigley,Rep,,,,,,1,,,,,,,,,,,,,,,1369,Q000023,1,,
illinois,9,Mike Quigley,Rep,,,,,,2,,,,3,,,,,,,,,,,1369,Q000023,2,,
illinois,14,Mike Quigley,Rep,,,,,,1,,,,,,,,,,,,,,,1369,Q000023,1,,
illinois,5,Mike Quigly,Rep,,,,,,49,,,,103,,,,,,,,,,,1369,Q000023,2,,
illinois,11,Nick Stella,Rep,,,,,,,,,,,,,,,,131,,,,,1372,,1,,
illinois,13,Nikki Budzinski,Rep,House,,,,,,,,,,,,,,,,,,,125,4276,B001315,0,,
illinois,0,Pat Quinn,Gov,,,,,547,869,419,,772,2034,618,2366,,,,,,,,,1373,,7,,
illinois,17,Patrick Harlan,Rep,,,,,,,,,,,,,,152,,,,,,,1374,,1,,
illinois,0,Patrick Quinn,Gov,,,,,,,,2480,,,,,,,,,,,,,1373,,1,,
illinois,15,Paul Lange,Rep,,,,,,,,,,,,,,,,,,,,143,4277,,0,,
illinois,13,Paul Ryan,Rep,,,,,,1,,,,,,,,,,,,,,,1375,R000570,1,,
illinois,8,"Peter ""Pete"" DiCianni",Rep,,,,,,,,,,,,,,148,,,,,,,1376,,1,,
illinois,5,Peter J. Roskam,Rep,,,,,,3,,,,9,,,,,,,,,,,575,R000580,2,,
illinois,6,Peter J. Roskam,Rep,,77,,41,,,,,,,,,,,,,,,,,575,R000580,2,,
illinois,8,Peter J. Roskam,Rep,,,,,,28,,,,70,,,,,,,,,,,575,R000580,2,,
illinois,9,Peter J. Roskam,Rep,,,,,,2,,,,11,,,,,,,,,,,575,R000580,2,,
illinois,6,Peter Roskam,Rep,House,,19,,29,52,33,127,35,116,41,127,32,153,33,135,,,,,575,R000580,13,,
illinois,8,Peter Roskam,Rep,,,,,,1,,,,,,,,,,,,,,,575,R000580,1,,
illinois,9,Peter Roskam,Rep,,,,,,2,,,,,,,,,,,,,,,575,R000580,1,,
illinois,7,Peter Visclosky,Rep,,,,,,1,,,,,,,,,,,,,,,1030,V000108,1,,
illinois,13,Phil Hare,Rep,,,,,,11,,,,,,,,,,,,,,,171,H001040,1,,
illinois,15,Phil Hare,Rep,,,,,,1,,,,,,,,,,,,,,,171,H001040,1,,
illinois,17,Phil Hare,Rep,House,89,14,42,29,18,,121,,,,,,,,,,,,,171,H001040,6,,
illinois,18,Phil Hare,Rep,,,,,,4,,,,,,,,,,,,,,,171,H001040,1,,
illinois,1,Philanise White,Rep,,,,,,,,,,,,,,,,,,114,,,1377,,0,,
illinois,8,Preston Nelson,Rep,,,,,,,,,,,,,,,,,,119,,,1378,,0,Libertarian. FEC ID: H8IL12160,
illinois,5,Rahm Emanuel,Rep,House,72,22,24,,,,,,,,,,,,,,,,,1379,E000287,3,,
illinois,3,Raja Krishnamoorthi,Rep,,,,,,,,,,,,,,,,,,,,16,1380,K000391,0,,
illinois,8,Raja Krishnamoorthi,Rep,,,,,,,,,,,,,,149,34,123,34,119,46,117,1380,K000391,3,,
illinois,14,Randall Hultgren,Rep,,,,,,,,165,,,,,,,,,,,,,1381,H001059,1,,
illinois,6,Randall M. 'Randy' Hultgren,Rep,,,,,,11,,,,19,,,,,,,,,,,1381,H001059,2,,
illinois,8,Randall M. 'Randy' Hultgren,Rep,,,,,,6,,,,20,,,,,,,,,,,1381,H001059,2,,
illinois,9,Randall M. 'Randy' Hultgren,Rep,,,,,,1,,,,,,,,,,,,,,,1381,H001059,1,,
illinois,11,Randall M. 'Randy' Hultgren,Rep,,,,,,12,,,,22,,,,,,,,,,,1381,H001059,2,,
illinois,16,Randall M. 'Randy' Hultgren,Rep,,,,,,4,,,,14,,,,,,,,,,,1381,H001059,2,,
