candidate_bonica,candidate_ces,politician_id,Unique_Project_ID,office_seat_name,district,cycle,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
lois capps,lois capps,2748,512,District 23,23,2006,california,Rep,House,C001036,5,,2006,62,63,california,128,0.9999995,,,
loraine goodwin,loraine goodwin,8386,513,District 19,19,2010,california,Rep,,,1,,2010,81,70,california,74,0.9999986,,,
loren hanks,loren hanks,16158,514,District 1,1,2010,california,Rep,,,1,,2010,108,71,california,66,0.9999991,,,
loretta sanchez,loretta sanchez,2986,515,District 47,47,2010,california,Rep,House,S000030,8,,2010,52,72,california,0,0.9999997,,,
lou correa,lou correa,8343,516,District 46,46,2022,california,Rep,,C001110,3,,2022,55,60,california,77,0.9999997,,,
louie a. contreras,louie a. contreras,15795,517,District 41,41,2006,california,Rep,,,1,,2006,79,65,california,56,1.0000011,,,
louie gohmert,louie gohmert,2822,518,District 1,1,2012,texas,Rep,House,G000552,15,,2012,32,72,texas,92,1,,,
louie j. campos,louie j. campos,16312,519,District 22,22,2016,california,Rep,,,1,,2016,77,66,california,41,0.9999518,,,
louis vandenberg,louis vandenberg,14900,520,District 44,44,2006,california,Rep,,,1,,2006,63,66,california,137,0.999997,,,
lucille roybal-allard,lucille roybal-allard,2979,521,District 34,34,2006,california,Rep,House,R000486,8,,2006,28,67,california,64,1.0000006,,,
lynn c. woolsey,lynn c. woolsey,13281,522,District 6,6,2006,california,Rep,House,W000738,2,,2006,105,68,california,114,1.000001,,,
mark desaulnier,mark desaulnier,3727,523,District 11,11,2018,california,Rep,,D000623,6,,2018,116,72,california,94,1.0000011,,,
mark reed,mark reed,3810,524,District 30,30,2014,california,Rep,,,4,,2014,18,76,california,13,1.0000001,,,
mark schauer,mark schauer,6512,525,District 7,7,2008,michigan,Rep,,S001178,4,,2008,36,21,michigan,17,0.99999964,,,
mark takano,mark takano,3078,526,District 41,41,2014,california,Rep,House,T000472,9,,2014,10,77,california,69,0.9999997,,,
marla livengood,marla livengood,8765,527,District 9,9,2018,california,Rep,,,1,,2018,93,75,california,71,0.99999946,,,
marta ann jorgensen,marta ann jorgensen,16193,528,District 24,24,2008,california,Rep,,,1,,2008,19,71,california,90,0.9999979,,,
martin heinrich,martin heinrich,707,529,District 1,1,2010,new mexico,Rep,House,H001046,4,,2010,179,4,new mexico,2,1,,,
adam b. schiff,"martin l. ""marty"" schwimmer",,530,District 29,45,2006,california,Rep,,,1,,2006,70,69,california,130,0.8389714,,,
mary whitaker bono mack,mary bono mack,8367,531,District 36,33,2012,california,Rep,,B001228,1,,2012,1,134,california,52,0.94028556,,,
matt t. kokkonen,matt t. kokkonen,16192,532,District 23,23,2008,california,Rep,,,1,,2008,15,73,california,134,1.0000007,,,
mattie fein,mattie fein,16260,533,District 36,36,2010,california,Rep,,,1,,2010,97,77,california,78,0.9999969,,,
maxine waters,maxine waters,3035,534,District 43,43,2018,california,Rep,House,W000187,7,,2018,94,76,california,13,1.0000006,,,
erik m. froyd,merlin froyd,16251,535,District 28,28,2010,california,Rep,,,1,,2010,97,79,california,104,0.8819626,,,
michael c. berryhill,"michael berryhill, sr.",8385,536,District 18,18,2010,california,Rep,,,1,,2010,77,80,california,9,0.9503129,,,
michael crimmins,michael crimmins,16222,537,District 53,53,2008,california,Rep,,,2,,2008,15,75,california,124,1,,,
michael eggman,michael eggman,3731,538,District 10,10,2014,california,Rep,,,3,,2014,14,79,california,76,1.0000002,,,
michael m. honda,michael m. honda,2851,539,District 15,15,2008,california,Rep,,H001034,2,,2008,30,76,california,45,1.0000005,,,
michael j. moloney,michael j. moloney,13314,540,District 12,12,2006,california,Rep,,,1,,2006,63,72,california,10,0.9999999,,,
mike thompson,mike thompson,3018,541,District 1,1,2006,california,Rep,,T000460,6,,2006,97,75,california,88,0.9999988,,,
michael tolar,michael tolar,10378,542,District 38,38,2020,california,Rep,,,0,,2020,77,76,california,102,0.99999744,,,
michael d. williamson,michael williamson,16268,543,District 42,42,2012,california,Rep,,,3,,2012,35,139,california,69,0.9760525,,,
michelle steel,michelle steel,9728,544,District 45,45,2022,california,Rep,House,S001135,0,,2022,74,75,california,24,0.99999696,,,
michelle steel,michelle steel,9728,544,District 48,48,2020,california,Rep,House,S001135,0,,2020,80,77,california,45,0.99999696,,,
mike cargile,mike cargile,10375,545,District 35,35,2022,california,Rep,,,0,,2022,77,77,california,12,0.999999,,,
mike cargile,mike cargile,10375,545,District 35,35,2020,california,Rep,,,0,,2020,65,78,california,18,0.999999,,,
mike a. denunzio,mike denunzio,15764,546,District 8,8,2006,california,Rep,,,1,,2006,103,74,california,81,0.97471386,,,
mike garcia,mike garcia,9881,547,District 27,27,2022,california,Rep,House,G000061,0,,2022,123,78,california,89,0.9999993,,,
michael j. halliwell,mike halliwell,16170,548,District 6,6,2008,california,Rep,,,1,,2008,10,77,california,104,0.9594546,,,
mike levin,mike levin,8618,549,District 49,49,2018,california,Rep,House,L000593,1,,2018,65,77,california,29,0.99999946,,,
mike lumpkin,mike lumpkin,16220,550,District 52,52,2008,california,Rep,,,1,,2008,27,78,california,12,0.9999978,,,
mimi walters,mimi walters,3843,551,District 45,45,2018,california,Rep,House,W000820,6,,2018,103,79,california,76,0.99999994,,,
morgan murtaugh,morgan murtaugh,8763,552,District 53,53,2018,california,Rep,,,1,,2018,122,80,california,8,0.99999756,,,
morgan osborne,morgan osborne,16293,553,District 37,37,2012,california,Rep,,,2,,2012,14,142,california,89,0.9999949,,,
nancy pelosi,nancy pelosi,2946,554,District 11,11,2022,california,Rep,House,P000197,1,,2022,133,81,california,94,1.0000001,,,
nancy pelosi,nancy pelosi,2946,554,District 8,8,2008,california,Rep,House,P000197,6,,2008,76,80,california,36,1.0000001,,,
nanette diaz barragán,nanette diaz barragan,8757,555,District 44,44,2016,california,Rep,,B001300,1,,2016,71,77,california,48,0.9842696,,,
navraj singh,navraj singh,3821,556,District 27,27,2008,california,Rep,,,1,,2008,14,81,california,92,0.9999983,,,
nicholas gerber,nicholas gerber,16178,557,District 10,10,2008,california,Rep,,,1,,2008,12,82,california,57,0.99999714,,,
nicholas leibham,nick leibham,9967,558,District 50,50,2008,california,Rep,,,1,,2008,34,83,california,63,0.96266717,,,
nick popaditch,nick popaditch,16278,559,District 53,53,2012,california,Rep,,,2,,2012,38,144,california,62,0.99999857,,,
nikka piterman,nikka piterman,10358,560,District 13,13,2020,california,Rep,,,0,,2020,111,84,california,69,0.99999714,,,
nisha sharma,nisha sharma,10356,561,District 11,11,2020,california,Rep,,,0,,2020,95,85,california,86,0.9999982,,,
norma j. torres,norma torres,3835,562,District 35,35,2022,california,Rep,,T000474,6,,2022,77,83,california,13,0.9730623,,,
norman devalois dicks,norman dicks,8496,563,District 6,6,2010,washington,Rep,,D000327,3,,2010,165,18,washington,9,0.93952155,,,
omar navarro,omar navarro,8755,564,District 43,43,2022,california,Rep,,,2,,2022,95,84,california,28,0.9999993,,,
omar qudrat,omar qudrat,8762,565,District 52,52,2018,california,Rep,,,1,,2018,120,85,california,84,0.9999983,,,
otto o. lee,otto lee,16288,566,District 22,22,2012,california,Rep,,,2,,2012,24,146,california,54,0.93554276,,,
patrick malloy,patrick malloy,16324,567,District 50,50,2016,california,Rep,,,1,,2016,114,80,california,70,0.9999971,,,
patrick meagher,patrick meagher,16266,568,District 41,41,2010,california,Rep,,,1,,2010,140,88,california,23,0.9999946,,,
paul allen smith,paul a. smith,16169,569,District 5,5,2008,california,Rep,,,1,,2008,9,84,california,100,0.9374252,,,
paul chabot,paul chabot,3712,570,District 31,31,2014,california,Rep,,,3,,2014,8,85,california,1,0.99999857,,,
paul cook,paul cook,3071,571,District 8,8,2018,california,Rep,House,C001094,9,,2018,155,86,california,0,0.99999994,,,
pete aguilar,pete aguilar,3686,572,District 31,31,2020,california,Rep,,A000371,4,,2020,93,88,california,14,0.9999995,,,
peter o. anderson,peter anderson,3693,573,District 39,39,2014,california,Rep,,,2,,2014,21,88,california,58,0.9645279,,,
peter hankwitz,peter hankwitz,15779,574,District 27,27,2006,california,Rep,,,1,,2006,67,77,california,65,1.0000015,,,
peter j. roskam,peter j. roskam,2977,575,District 6,6,2006,illinois,Rep,,R000580,2,,2006,77,29,illinois,4,0.9999993,,,
phil arballo,phil arballo,10364,576,District 22,22,2020,california,Rep,,,0,,2020,85,89,california,95,0.9999992,,,
phil jennerjahn,phil jennerjahn,16290,577,District 28,28,2012,california,Rep,,,2,,2012,26,150,california,17,0.9999976,,,
phil angelides,"philip ""phil"" angelides",9260,578,,0,2006,california,Gov,,,1,,2006,3570,78,california,148,0.93695015,,,
preston picus,preston picus,16304,579,District 12,12,2016,california,Rep,,,1,,2016,160,84,california,82,0.9999987,,,
rafael alberto dagnesses,rafael a. dagnesses,3722,580,District 26,26,2016,california,Rep,,,1,,2016,88,85,california,89,0.9520956,,,
raymond l. chukwu,ramond l. chukwu,15338,581,District 15,15,2006,california,Rep,,,1,,2006,70,79,california,12,0.9590492,,,
ran s. petel,ran petel,10359,582,District 14,14,2020,california,Rep,,,0,FEC Candidate ID: H0CA14125,2020,102,90,california,35,0.9355165,,,
joseph randolph loftin,randy loftin,16282,583,District 5,5,2012,california,Rep,,,2,,2012,68,151,california,6,0.9071653,,,
raul ruiz,raul ruiz,3077,584,District 36,36,2018,california,Rep,House,R000599,9,,2018,128,88,california,104,0.99999976,,,
raymond chui,raymond chui,16181,585,District 13,13,2008,california,Rep,,,1,,2008,11,85,california,112,0.99999845,,,
raymond lutz,raymond lutz,16279,586,District 52,52,2010,california,Rep,,,1,,2010,142,90,california,82,0.9999988,,,
richard dick mountjoy,"richard ""dick"" mountjoy",1719,587,Class I,0,2006,california,Sen,,,1,,2006,3553,80,california,140,0.9831966,,,
richard alarcón,richard alarcon,16315,588,District 29,29,2016,california,Rep,,,1,,2016,70,87,california,13,0.96600163,,,
richard b. fox,richard b. fox,3735,589,District 18,18,2016,california,Rep,,,1,,2016,115,88,california,96,0.9999984,,,
richard s. tubbs,"richard tubbs, ii",16227,590,District 7,7,2010,california,Rep,,,1,,2010,105,91,california,155,0.95182455,,,
richard w. pombo,richard w. pombo,10108,591,District 11,11,2006,california,Rep,,P000419,1,,2006,73,81,california,80,0.9999978,,,
ricky gill,ricky gill,8364,592,District 9,9,2012,california,Rep,,,2,,2012,34,154,california,8,0.9999975,,,
rishi kumar,rishi kumar,10363,593,District 16,16,2022,california,Rep,,,0,,2022,60,89,california,62,0.9999997,,,
rishi kumar,rishi kumar,10363,593,District 18,18,2020,california,Rep,,,0,,2020,104,92,california,66,0.9999997,,,
rita ramirez-dean,rita ramirez,16303,594,District 8,8,2016,california,Rep,,,1,,2016,133,89,california,4,0.9630161,,,
ritesh tandon,ritesh tandon,10362,595,District 17,17,2022,california,Rep,,,0,,2022,67,90,california,64,0.99999934,,,
ritesh tandon,ritesh tandon,10362,595,District 17,17,2020,california,Rep,,,0,,2020,85,93,california,91,0.99999934,,,
ro khanna,ro khanna,3768,596,District 17,17,2020,california,Rep,,K000389,5,,2020,85,94,california,90,0.9999995,,,
robert s. evans,robert (bob) evans,16302,597,District 6,6,2016,california,Rep,,,1,,2016,135,91,california,32,0.95193285,,,
robert hamilton,robert hamilton,16217,598,District 49,49,2008,california,Rep,,,1,,2008,13,86,california,71,0.9999974,,,
robert murray,robert murray,3796,599,District 19,19,2012,california,Rep,,,4,,2012,29,155,california,74,0.99999774,,,
robert rodriguez,robert rodriguez,15778,600,District 25,25,2006,california,Rep,,,1,,2006,72,82,california,20,0.9999997,,,
robert william vaughn,robert vaughn,16262,601,District 38,38,2010,california,Rep,,,1,,2010,63,92,california,20,0.98244727,,,
robert w. derlet,robert w. derlet,16300,602,District 4,4,2016,california,Rep,,,1,,2016,115,92,california,31,0.9999979,,,
robin chew,robin chew,3714,603,District 14,14,2014,california,Rep,,,2,,2014,18,93,california,34,1.0000007,,,
rodolfo barragan,rodolfo cortes barragan,8752,604,District 40,40,2018,california,Rep,,,1,,2018,49,90,california,58,0.96094483,,,
roger allen petersen,roger allen petersen,16172,605,District 7,7,2008,california,Rep,,,1,,2008,9,87,california,75,0.9999981,,,
roger hernandez,roger hernandez,16316,606,District 32,32,2016,california,Rep,,,1,,2016,93,94,california,71,0.9999978,,,
roman gabriel gonzalez,roman gabriel gonzalez,16321,607,District 40,40,2016,california,Rep,,,1,,2016,76,95,california,47,0.99999684,,,
ron bassilian,ron bassilian,8750,608,District 37,37,2018,california,Rep,,,1,,2018,87,91,california,61,1.0000018,,,
ron cohen,ron cohen,8732,609,District 17,17,2018,california,Rep,,,1,,2018,77,92,california,69,0.9999904,,,
ron varasteh,ron varasteh,16297,610,District 48,48,2012,california,Rep,,,2,,2012,31,156,california,29,0.9999996,,,
ronald kabat,ronald kabat,3766,611,District 20,20,2014,california,Rep,,,2,,2014,18,94,california,83,0.999996,,,
ronda baldwin-kennedy,ronda kennedy,10367,612,District 26,26,2020,california,Rep,,,0,,2020,74,95,california,9,0.92614335,,,
ronny santana,ronny santana,16182,613,District 14,14,2008,california,Rep,,,1,,2008,18,88,california,42,0.9999038,,,
rosemarie avila,"rosemarie ""rosie"" avila",16215,614,District 47,47,2008,california,Rep,,,1,,2008,11,89,california,120,0.9668918,,,
rudy peters,"rudy peters, jr.",8730,615,District 15,15,2018,california,Rep,,,1,,2018,100,94,california,6,0.9738067,,,
russell h. warner,russell warner,16195,616,District 26,26,2010,california,Rep,,,1,,2010,102,93,california,32,0.96657676,,,
russell lambert,russell rene lambert,8758,617,District 46,46,2018,california,Rep,,,1,,2018,66,95,california,89,0.9719366,,,
ryan downing,ryan downing,3728,618,District 38,38,2016,california,Rep,,,2,,2016,99,97,california,105,0.9999986,,,
salud carbajal,salud carbajal,8345,619,District 24,24,2018,california,Rep,House,C001112,3,,2018,91,97,california,35,0.99999934,,,
sam farr,sam farr,2802,620,District 20,20,2012,california,Rep,House,F000030,7,,2012,30,158,california,94,0.9999993,,,
sam farr,sam farr,2802,620,District 17,17,2006,california,Rep,House,F000030,6,,2006,68,83,california,123,0.9999993,,,
sam graves,sam graves,2827,621,District 6,6,2016,missouri,Rep,,G000546,14,,2016,152,16,missouri,12,1.0000013,,,
sam graves,sam graves,2827,621,District 6,6,2008,missouri,Rep,,G000546,14,,2008,83,16,missouri,0,1.0000013,,,
sara jacobs,sara jacobs,9817,622,District 51,51,2022,california,Rep,House,J000305,0,,2022,100,96,california,19,0.99999803,,,
sara jacobs,sara jacobs,9817,622,District 53,53,2020,california,Rep,House,J000305,0,,2020,110,97,california,41,0.99999803,,,
scott l. folkens,scott l. folkens,15796,623,District 43,43,2006,california,Rep,,,1,,2006,31,84,california,55,0.9999958,,,
scott giblin,scott giblin,10386,624,District 5,5,2020,california,Rep,,,0,Candidate FEC ID: H0CA05107,2020,102,98,california,82,0.9998263,,,
scott kirkland,scott kirkland,11359,625,District 15,15,2010,california,Rep,,,1,,2010,108,96,california,3,0.999999,,,
scott peters,scott peters,3081,626,District 52,52,2014,california,Rep,House,P000608,9,,2014,29,96,california,105,0.99999976,,,
scott jones,scott r. jones,8333,627,District 7,7,2016,california,Rep,,,1,,2016,144,101,california,63,0.974514,,,
sean flynn,sean flynn,8743,628,District 31,31,2018,california,Rep,,,1,,2018,111,99,california,65,0.99999994,,,
shahid buttar,shahid buttar,10357,629,District 12,12,2020,california,Rep,,,0,,2020,141,100,california,77,0.999997,,,
sharon m. beery,sharon m. beery,15774,630,District 22,22,2006,california,Rep,,,1,,2006,86,85,california,127,0.9999992,,,
sidney w. street,sidney w. street,15791,631,District 38,38,2006,california,Rep,,,1,,2006,34,86,california,58,0.99999803,,,
stanley kimmel kesselman,stanley kimmel kesselman,15781,632,District 28,28,2006,california,Rep,,,1,,2006,59,87,california,72,0.9999826,,,
star parker,star parker,16261,633,District 37,37,2010,california,Rep,,,1,,2010,80,97,california,141,0.99999636,,,
stephen knight,stephen knight,3773,634,District 25,25,2014,california,Rep,,K000387,2,,2014,21,97,california,86,1.0000005,,,
stephen meade,stephen meade,3788,635,District 51,51,2014,california,Rep,,,2,,2014,12,98,california,65,0.99999756,,,
stephen c. smith,stephen smith,16256,636,District 31,31,2010,california,Rep,,,1,,2010,67,98,california,24,0.9676303,,,
steve adams,steve adams,3685,637,District 41,41,2014,california,Rep,,,2,,2014,10,99,california,68,0.9999994,,,
steve pougnet,steve pougnet,16270,638,District 45,45,2010,california,Rep,,,1,,2010,155,99,california,93,0.99999684,,,
steve stokes,steve stokes,3826,639,District 28,28,2014,california,Rep,,,2,,2014,20,100,california,56,1.0000006,,,
steve r. young,steve young,15800,640,District 48,48,2006,california,Rep,,,2,,2006,64,88,california,33,0.95789707,,,
steven c. latourette,steven c. latourette,5385,641,District 14,14,2006,ohio,Rep,House,L000553,3,,2006,80,34,ohio,39,0.9999977,,,
suzanne m. caro,sue caro,16305,642,District 13,13,2016,california,Rep,,,1,,2016,108,103,california,9,0.92641306,,,
suzanne joyce savary,suzanne savary,3817,643,District 48,48,2016,california,Rep,,,1,,2016,92,105,california,55,0.9540465,,,
sukhee kang,sukhee kang,16295,644,District 45,45,2012,california,Rep,,,2,,2012,36,163,california,56,0.99999803,,,
susan a. davis,susan a. davis,2780,645,District 53,53,2008,california,Rep,House,D000598,2,,2008,56,93,california,122,1.0000008,,,
suzanna aguilera-marrero,suzanna aguilera-marrero,3687,646,District 22,22,2014,california,Rep,,,2,,2014,5,103,california,85,1.000002,,,
tj cox,tj cox,8736,647,District 21,21,2018,california,Rep,House,C001124,1,,2018,67,102,california,39,1.0000005,,,
tamika hamilton,tamika hamilton,10370,648,District 6,6,2022,california,Rep,,,0,,2022,121,103,california,3,0.9999978,,,
tamika hamilton,tamika hamilton,10370,648,District 3,3,2020,california,Rep,,,0,,2020,102,103,california,0,0.9999978,,,
tan d. nguyen,tan d. nguyen,15799,649,District 47,47,2006,california,Rep,,,1,,2006,50,91,california,31,1.0000004,,,
tatiana matta,tatiana matta,8737,650,District 23,23,2018,california,Rep,,,1,,2018,118,103,california,2,1.0000013,,,
ted hayes,ted hayes,16203,651,District 35,35,2008,california,Rep,,,1,,2008,3,94,california,66,1.0000015,,,
ted d. howze,ted howze,10355,652,District 10,10,2020,california,Rep,,,0,,2020,73,104,california,36,0.95217055,,,
ted w. lieu,ted lieu,3781,653,District 33,33,2016,california,Rep,House,L000582,6,,2016,164,106,california,42,0.906793,,,
thomas robinson smith,"thomas robinson ""rob"" smith",15768,654,District 14,14,2006,california,Rep,,,1,,2006,77,92,california,46,0.9662856,,,
tim donnelly,tim donnelly,6606,655,District 8,8,2018,california,Rep,,,1,,2018,155,105,california,1,0.999999,,,
tim prince,tim prince,16209,656,District 41,41,2008,california,Rep,,,1,,2008,26,95,california,28,1.0000002,,,
tim sheridan,tim sheridan,3819,657,District 42,42,2014,california,Rep,,,3,,2014,16,105,california,92,0.9999989,,,
timothy j. allison,timothy allison,16248,658,District 24,24,2010,california,Rep,,,1,,2010,132,101,california,49,0.98092103,,,
todd lewis hooper,todd lewis hooper,15760,659,District 6,6,2006,california,Rep,,,1,,2006,106,93,california,113,0.9999984,,,
tom lantos,tom lantos,13313,660,District 12,12,2006,california,Rep,,,2,,2006,63,94,california,11,0.9999238,,,
tom mcclintock,tom mcclintock,2908,661,District 4,4,2018,california,Rep,House,M001177,13,,2018,116,106,california,49,0.9999997,,,
tom mcclintock,tom mcclintock,2908,661,District 4,4,2014,california,Rep,House,M001177,13,,2014,26,106,california,6,0.9999997,,,
tom watson,tom watson,16247,662,District 23,23,2010,california,Rep,,,1,,2010,99,103,california,150,0.99990493,,,
tony cardenas,tony cardenas,3075,663,District 29,29,2016,california,Rep,,C001097,9,,2016,70,109,california,12,0.9999994,,,
anthony strickland,tony strickland,3827,664,District 25,25,2014,california,Rep,,,2,,2014,21,109,california,87,0.9366929,,,
tue phan,tue phan-quang,3805,665,District 11,11,2014,california,Rep,,,2,,2014,23,110,california,74,0.94895357,,,
tyler r. fischella,tyler fischella,16317,666,District 35,35,2016,california,Rep,,,1,,2016,88,110,california,15,0.97260404,,,
van tran,van tran,8390,667,District 47,47,2010,california,Rep,,,1,,2010,52,104,california,1,0.9995383,,,
victor d. tognazzini,victor d. tognazzini,15775,668,District 23,23,2006,california,Rep,,,1,,2006,62,95,california,129,0.99999785,,,
virginia fuller,virginia fuller,3739,669,District 11,11,2012,california,Rep,,,2,,2012,45,169,california,11,0.9999984,,,
walter herger,"walter herger, jr.",13273,670,District 2,2,2010,california,Rep,,H000528,1,,2010,108,105,california,68,0.9682377,,,
walter b. jones,walter b. jones,2866,671,District 3,3,2006,north carolina,Rep,,J000255,7,,2006,64,27,north carolina,2,0.99999976,,,
wayne miller,wayne miller,13364,672,District 34,34,2006,california,Rep,,,2,,2006,28,97,california,63,0.99999917,,,
wendy reed,wendy reed,16313,673,District 23,23,2016,california,Rep,,,1,,2016,120,111,california,93,0.9999965,,,
william j. bodell,william j. bodell,15785,674,District 29,29,2006,california,Rep,,,1,,2006,61,99,california,131,0.99999976,,,
william o'callaghan leader,william leader,3775,675,District 29,29,2014,california,Rep,,,2,,2014,9,111,california,10,0.8422428,,,
xavier becerra,xavier becerra,2722,676,District 31,31,2008,california,Rep,House,B000287,6,,2008,20,98,california,47,1.0000004,,,
xiaochin claire yan,xiaochin claire yan,15758,677,District 5,5,2006,california,Rep,,,1,,2006,74,101,california,117,0.99999774,,,
young kim,young kim,8616,678,District 40,40,2022,california,Rep,House,K000397,0,,2022,104,111,california,75,0.999999,,,
young kim,young kim,8616,678,District 39,39,2018,california,Rep,House,K000397,1,,2018,98,108,california,45,0.999999,,,
zane starkewolf,zane starkewolf,16156,679,District 1,1,2008,california,Rep,,,1,,2008,23,99,california,143,0.9999978,,,
zoe lofgren,zoe lofgren,2892,680,District 18,18,2022,california,Rep,House,L000397,2,,2022,68,112,california,49,1.0000004,,,
zoe lofgren,zoe lofgren,2892,680,District 19,19,2018,california,Rep,House,L000397,9,,2018,104,109,california,41,1.0000004,,,
zoe lofgren,zoe lofgren,2892,680,District 16,16,2006,california,Rep,House,L000397,6,,2006,59,102,california,68,1.0000004,,,
abel j. tapia,abel tapia,3869,681,District 3,3,2014,colorado,Rep,,,2,,2014,14,0,colorado,16,0.94589126,,,
andrew romanoff,andrew romanoff,432,682,District 6,6,2014,colorado,Rep,,,2,,2014,32,1,colorado,8,0.9999966,,,
angie paccione,angie paccione,10110,683,District 4,4,2006,colorado,Rep,,,1,,2006,93,0,colorado,16,1.0000001,,,
bill ritter jr.,bill ritter,8040,684,,0,2006,colorado,Gov,,,2,,2006,617,2,colorado,30,0.9728843,,,
betsy markey,betsy markey,5468,685,District 4,4,2008,colorado,Rep,House,M001172,2,,2008,60,0,colorado,14,0.9999983,,,
bill winter,bill owens,,686,District 6,0,2006,colorado,Gov,,,1,,2006,615,1,colorado,26,0.85631514,,,
bill winter,bill winter,15810,687,District 6,6,2006,colorado,Rep,,,1,,2006,100,3,colorado,26,1.0000001,,,
bob beauprez,bob beauprez,6453,688,,0,2006,colorado,Gov,,B001240,1,,2006,614,4,colorado,33,0.99999785,,,
bob schaffer,bob schaffer,1544,689,Class II,0,2008,colorado,Sen,,S000112,1,,2008,403,1,colorado,23,1.0000002,,,
bob seay,bob seay,16342,690,District 4,4,2016,colorado,Rep,,,1,,2016,121,0,colorado,19,0.99999845,,,
brandon c. shaffer,brandon shaffer,5475,691,District 4,4,2012,colorado,Rep,,,2,,2012,54,0,colorado,9,0.9773987,,,
casper stockham,casper stockham,8766,692,District 7,7,2020,colorado,Rep,,,0,,2020,151,0,colorado,8,1.0000001,,,
charlie winn,charlie winn,10393,693,District 2,2,2020,colorado,Rep,,,0,,2020,151,1,colorado,28,0.99999994,,,
cory gardner,cory gardner,2816,694,District 4,4,2010,colorado,Rep,House,G000562,5,,2010,152,1,colorado,23,1.0000005,,,
danny e. stroud,danny stroud,3867,695,District 1,1,2012,colorado,Rep,,,2,,2012,52,2,colorado,16,0.97266984,,,
darryl glenn,darryl glenn,8140,696,Class III,0,2016,colorado,Sen,,,1,,2016,1009,3,colorado,25,0.9999853,,,
dennis moore,dennis moore,9997,697,District 3,3,2006,kansas,Rep,House,M001140,6,,2006,116,1,kansas,11,1,,,
denny rehberg,denny rehberg,1003,698,District 1,0,2008,montana,Rep,,R000571,3,,2008,155,1,montana,0,1.0000002,,,
denny rehberg,denny rehberg,1003,698,Class I,0,2012,montana,Sen,,R000571,2,,2012,69,1,montana,3,1.0000002,,,
diana degette,diana degette,2782,699,District 1,1,2020,colorado,Rep,House,D000197,15,,2020,178,3,colorado,24,0.99999976,,,
diana degette,diana degette,2782,699,District 1,1,2018,colorado,Rep,House,D000197,15,,2018,166,2,colorado,21,0.99999976,,,
diana degette,diana degette,2782,699,District 1,1,2008,colorado,Rep,House,D000197,15,,2008,66,2,colorado,16,0.99999976,,,
diana degette,diana degette,2782,699,District 1,1,2006,colorado,Rep,House,D000197,15,,2006,89,5,colorado,19,0.99999976,,,
diane mitsch bush,diane mitsch bush,8769,700,District 3,3,2020,colorado,Rep,,,1,,2020,134,4,colorado,3,1.0000001,,,
donald g.w. ytterberg,don ytterberg,3871,701,District 7,7,2014,colorado,Rep,,,2,,2014,25,4,colorado,18,0.8977606,,,
ed perlmutter,ed perlmutter,2947,702,District 7,7,2020,colorado,Rep,House,P000593,14,,2020,151,6,colorado,12,1,,,
ed perlmutter,ed perlmutter,2947,702,District 7,7,2018,colorado,Rep,House,P000593,14,,2018,158,5,colorado,30,1,,,
ed perlmutter,ed perlmutter,2947,702,District 7,7,2006,colorado,Rep,House,P000593,14,,2006,94,7,colorado,14,1,,,
gail s. schwartz,gail schwartz,16340,703,District 3,3,2016,colorado,Rep,,,1,,2016,128,7,colorado,1,0.98631173,,,
george athanasopoulos,george athanasopoulos,16360,704,District 7,7,2016,colorado,Rep,,,1,,2016,164,8,colorado,8,0.99999785,,,
george c. lilly,george c. lilly,14918,705,District 1,1,2008,colorado,Rep,,,1,,2008,24,5,colorado,18,0.99999875,,,
george leing,george leing,3860,706,District 2,2,2014,colorado,Rep,,,2,,2014,31,7,colorado,12,0.99999774,,,
hal bidlack,hal bidlack,16344,707,District 5,5,2008,colorado,Rep,,,1,,2008,23,6,colorado,12,1.0000002,,,
hank eng,hank eng,16352,708,District 6,6,2008,colorado,Rep,,,1,,2008,34,7,colorado,6,1,,,
ike mccorkle,ike mccorkle,10395,709,District 4,4,2020,colorado,Rep,,,0,,2020,124,7,colorado,14,1,,,
irv halter,irv halter,3856,710,District 5,5,2014,colorado,Rep,,,2,,2014,23,8,colorado,7,0.9999982,,,
jared polis,jared polis,2954,711,District 2,2,2010,colorado,Rep,House,P000598,13,,2010,148,6,colorado,20,1.0000008,,,
jason crow,jason crow,8607,712,District 6,6,2020,colorado,Rep,House,C001121,1,,2020,156,9,colorado,6,1.0000001,,,
jason crow,jason crow,8607,712,District 6,6,2018,colorado,Rep,House,C001121,1,,2018,115,7,colorado,9,1.0000001,,,
jay fawcett,jay fawcett,10021,713,District 5,5,2006,colorado,Rep,,,1,,2006,86,8,colorado,21,1,,,
jeb hensarling,jeb hensarling,2845,714,District 5,1,2012,texas,Rep,,H001036,2,,2012,2,40,texas,8,0.9999979,,,
jillian freeland,jillian freeland,10396,715,District 5,5,2020,colorado,Rep,,,0,,2020,165,10,colorado,20,1,,,
joe coors,"joe coors, jr.",5454,716,District 7,7,2012,colorado,Rep,,,2,,2012,47,13,colorado,15,0.96351147,,,
joe miklosi,joe miklosi,5469,717,District 6,6,2012,colorado,Rep,,,2,,2012,44,14,colorado,3,0.99999875,,,
joe neguse,joe neguse,8767,718,District 2,2,2020,colorado,Rep,,N000191,1,,2020,151,11,colorado,29,0.99999994,,,
